2014-07-21-15.42.47.529237,,,,
BC_NO,EXTERNAL_USER_XREF,CONTRACT_NO,SCHEME_NUMBER,PROD_SNAME,MBR_STATUS_CODE,OPTOUT_PERIOD_END_DATE
0952000671741,8abcc1a7474a238c01475865d93d0053,TB100159026,TR1081,TBP,1,21/08/2014
0952000669518,8abcc1a7474a238c01475865d9880054,TB100159027,TR1081,TBP,1,21/08/2014
0952000673313,8abcc1a7474a238c01475865f3c8005d,TB100159028,TR1081,TBP,1,21/08/2014
0952000661217,8abcc1a7474a238c01475865f7660067,TB100159029,TR1081,TBP,1,21/08/2014
0952000673323,8abcc1a7474a238c01475866051f0071,TB100159030,TR1081,TBP,1,21/08/2014
0952000660566,8abcc1a7474a238c014758660707007b,TB100159031,TR1081,TBP,1,21/08/2014
TRAILER,6,,,
